URL,Page Type,Indexable,Title,H1,Primary Topic,Secondary Topic,Intent,Approx Word Count,Content Quality,Thin Content,Duplicate Risk,Cannibalization Risk,FAQ,CTA,Internal Links,Content Added,Content Updated,Recommended Action
/,Homepage,Yes,Premium Corporate Gifting & Custom Branding Solutions India,Hero H1,Corporate gifting,Branded merchandise; bulk orders,Commercial investigation,1200+,Strong,No,Low,Medium,Yes,Yes,Categories; collections; contact,No,Yes,Monitor performance
/:category,Category template,Yes,Dynamic SEO title,Category name or SEO H1,Product family,B2B use cases; custom branding,Commercial investigation,700-1200,Strong,No,Low,Low,Sometimes,Yes,Subcategories; products,No,No,Review per category
/:category/:subcategory,Subcategory template,Yes,Dynamic SEO title,SEO H1 or subcategory name,Product type,Use cases; customisation,Commercial investigation,300-900,Mixed,Possible,Low,Low,Sometimes,Yes,Parent; products; related categories,No,No,Review thin database-backed pages
/:category/:subcategory/:product,Product template,Yes,Dynamic product title,Product name,Individual product,Customisation; specifications,Transactional / enquiry,150-500,Mixed,Possible,Possible,Low,Sometimes,Yes,Parent; related products,No,No,Improve only with approved product data
/collection/welcome-kits,Subcategory,Yes,Dynamic SEO title,Custom Welcome Kit,Employee onboarding kits,Joining kits; branded gift sets,Commercial investigation,500+,Strong,No,Low,Low,Yes,Yes,Homepage; collection; products,No,Yes,Primary onboarding destination
/diwali-special,Campaign,Yes,Diwali campaign title,Campaign H1,Corporate Diwali gifts,Hampers; employee/client gifts,Commercial investigation,800+,Strong,No,Low,Low,Yes,Yes,Guides; hampers; contact,No,No,Refresh seasonally
/blog/corporate-diwali-gifts-buying-guide-2026,Editorial guide,Yes,Corporate Diwali Gifts for Employees & Clients: Complete 2026 Buying Guide,Article title,Corporate Diwali planning,Budget; branding; bulk ordering,Informational to commercial,1000+,Strong,No,Low,Low,Yes,Yes,Technology; eco; collection; Diwali; contact,No,No,Refresh annually
/blog/best-corporate-diwali-gifts-delhi-ncr-2026,Editorial guide,Yes,Best Corporate Diwali Gifts in Delhi NCR for Companies in 2026,Article title,Delhi NCR corporate Diwali planning,Procurement; delivery planning,Informational to commercial,900+,Strong,No,Low,Low,Yes,Yes,Diwali; technology; eco; collection; contact,No,No,Refresh annually
/locations,Location hub,Yes,Corporate Gifting Service Areas in Delhi NCR | Printkee,Corporate Gifting Across Delhi NCR,Service areas,Delhi NCR corporate gifting,Commercial investigation,250+,Adequate,No,Low,Medium,No,Yes,Location pages; collection; contact,No,No,Keep hub-focused
/:city/corporate-gifts,Location template,Yes,Location-specific title,Location page H1,Corporate gifts by service area,Planning; bulk gifting,Commercial investigation,400+,Adequate,No,Medium,Medium,No,Yes,Locations; collection; contact,No,No,Maintain unique local value
/about,Corporate,Yes,About Printkee,About Printkee,Company information,Capabilities; trust,Navigational,300+,Adequate,No,Low,Low,No,Yes,Contact,No,No,Use approved company facts only
/contact,Contact,Yes,Contact metadata,Contact page H1,Corporate gifting enquiry,Customisation; bulk orders,Transactional,250+,Strong,No,Low,Low,No,Yes,Sitewide,No,No,Primary enquiry page
/brands,Brand hub,Yes,Brands metadata,Brands We Offer,Available brands,Product sourcing,Navigational,150+,Adequate,Possible,Low,Low,No,No,Brand pages,No,No,Review brand descriptions
/blogs,CMS blog listing,Yes,Latest Blogs on Corporate Gifting | MF Global Services,Blog listing,Corporate gifting articles,Branding; promotional products,Informational,Variable,Mixed,Possible,Possible,Low,No,No,Individual blogs,No,No,Review every CMS post
/sitemap,HTML sitemap,Yes,Sitemap | Printkee,Sitemap,Site navigation,Categories; company,Navigational,100+,Adequate,No,Low,Low,No,No,Core routes,No,No,Keep aligned with navigation
